city,state_name,population,slug
New York,New York,8405837,new-york-ny
Los Angeles,California,3884307,los-angeles-ca
Chicago,Illinois,2718782,chicago-il
Houston,Texas,2195914,houston-tx
Philadelphia,Pennsylvania,1553165,philadelphia-pa
Phoenix,Arizona,1513367,phoenix-az
San Antonio,Texas,1409019,san-antonio-tx
San Diego,California,1355896,san-diego-ca
Dallas,Texas,1257676,dallas-tx
San Jose,California,998537,san-jose-ca
Austin,Texas,885400,austin-tx
Indianapolis,Indiana,843393,indianapolis-in
Jacksonville,Florida,842583,jacksonville-fl
San Francisco,California,837442,san-francisco-ca
Columbus,Ohio,822553,columbus-oh
Charlotte,North Carolina,792862,charlotte-nc
Fort Worth,Texas,792727,fort-worth-tx
Detroit,Michigan,688701,detroit-mi
El Paso,Texas,674433,el-paso-tx
Memphis,Tennessee,653450,memphis-tn
Seattle,Washington,652405,seattle-wa
Denver,Colorado,649495,denver-co
Washington,District of Columbia,646449,washington-dc
Boston,Massachusetts,645966,boston-ma
Nashville-Davidson,Tennessee,634464,nashville-davidson-tn
Baltimore,Maryland,622104,baltimore-md
Oklahoma City,Oklahoma,610613,oklahoma-city-ok
Louisville/Jefferson County,Kentucky,609893,louisville-jefferson-county-ky
Portland,Oregon,609456,portland-or
Las Vegas,Nevada,603488,las-vegas-nv
Milwaukee,Wisconsin,599164,milwaukee-wi
Albuquerque,New Mexico,556495,albuquerque-nm
Tucson,Arizona,526116,tucson-az
Fresno,California,509924,fresno-ca
Sacramento,California,479686,sacramento-ca
Long Beach,California,469428,long-beach-ca
Kansas City,Missouri,467007,kansas-city-mo
Mesa,Arizona,457587,mesa-az
Virginia Beach,Virginia,448479,virginia-beach-va
Atlanta,Georgia,447841,atlanta-ga
Colorado Springs,Colorado,439886,colorado-springs-co
Omaha,Nebraska,434353,omaha-ne
Raleigh,North Carolina,431746,raleigh-nc
Miami,Florida,417650,miami-fl
Oakland,California,406253,oakland-ca
Minneapolis,Minnesota,400070,minneapolis-mn
Tulsa,Oklahoma,398121,tulsa-ok
Cleveland,Ohio,390113,cleveland-oh
Wichita,Kansas,386552,wichita-ks
Arlington,Texas,379577,arlington-tx
New Orleans,Louisiana,378715,new-orleans-la
Bakersfield,California,363630,bakersfield-ca
Tampa,Florida,352957,tampa-fl
Honolulu,Hawaii,347884,honolulu-hi
Aurora,Colorado,345803,aurora-co
Anaheim,California,345012,anaheim-ca
Santa Ana,California,334227,santa-ana-ca
St. Louis,Missouri,318416,st-louis-mo
Riverside,California,316619,riverside-ca
Corpus Christi,Texas,316381,corpus-christi-tx
Lexington-Fayette,Kentucky,308428,lexington-fayette-ky
Pittsburgh,Pennsylvania,305841,pittsburgh-pa
Anchorage,Alaska,300950,anchorage-ak
Stockton,California,298118,stockton-ca
Cincinnati,Ohio,297517,cincinnati-oh
St. Paul,Minnesota,294873,st-paul-mn
Toledo,Ohio,282313,toledo-oh
Greensboro,North Carolina,279639,greensboro-nc
Newark,New Jersey,278427,newark-nj
Plano,Texas,274409,plano-tx
Henderson,Nevada,270811,henderson-nv
Lincoln,Nebraska,268738,lincoln-ne
Buffalo,New York,258959,buffalo-ny
Jersey City,New Jersey,257342,jersey-city-nj
Chula Vista,California,256780,chula-vista-ca
Fort Wayne,Indiana,256496,fort-wayne-in
Orlando,Florida,255483,orlando-fl
St. Petersburg,Florida,249688,st-petersburg-fl
Chandler,Arizona,249146,chandler-az
Laredo,Texas,248142,laredo-tx
Norfolk,Virginia,246139,norfolk-va
Durham,North Carolina,245475,durham-nc
Madison,Wisconsin,243344,madison-wi
Lubbock,Texas,239538,lubbock-tx
Irvine,California,236716,irvine-ca
Winston-Salem,North Carolina,236441,winston-salem-nc
Glendale,Arizona,234632,glendale-az
Garland,Texas,234566,garland-tx
Hialeah,Florida,233394,hialeah-fl
Reno,Nevada,233294,reno-nv
Chesapeake,Virginia,230571,chesapeake-va
Gilbert,Arizona,229972,gilbert-az
Baton Rouge,Louisiana,229426,baton-rouge-la
Irving,Texas,228653,irving-tx
Scottsdale,Arizona,226918,scottsdale-az
North Las Vegas,Nevada,226877,north-las-vegas-nv
Fremont,California,224922,fremont-ca
Boise City,Idaho,214237,boise-city-id
Richmond,Virginia,214114,richmond-va
San Bernardino,California,213708,san-bernardino-ca
Birmingham,Alabama,212113,birmingham-al
Spokane,Washington,210721,spokane-wa
Rochester,New York,210358,rochester-ny
Des Moines,Iowa,207510,des-moines-ia
Modesto,California,204933,modesto-ca
Fayetteville,North Carolina,204408,fayetteville-nc
Tacoma,Washington,203446,tacoma-wa
Oxnard,California,203007,oxnard-ca
Fontana,California,203003,fontana-ca
Columbus,Georgia,202824,columbus-ga
Montgomery,Alabama,201332,montgomery-al
