city,state,population,state_name,slug
New York,NY,8405837,New York,new-york-ny
Los Angeles,CA,3884307,California,los-angeles-ca
Chicago,IL,2718782,Illinois,chicago-il
Houston,TX,2195914,Texas,houston-tx
Philadelphia,PA,1553165,Pennsylvania,philadelphia-pa
Phoenix,AZ,1513367,Arizona,phoenix-az
San Antonio,TX,1409019,Texas,san-antonio-tx
San Diego,CA,1355896,California,san-diego-ca
Dallas,TX,1257676,Texas,dallas-tx
San Jose,CA,998537,California,san-jose-ca
Austin,TX,885400,Texas,austin-tx
Indianapolis,IN,843393,Indiana,indianapolis-in
Jacksonville,FL,842583,Florida,jacksonville-fl
San Francisco,CA,837442,California,san-francisco-ca
Columbus,OH,822553,Ohio,columbus-oh
Charlotte,NC,792862,North Carolina,charlotte-nc
Fort Worth,TX,792727,Texas,fort-worth-tx
Detroit,MI,688701,Michigan,detroit-mi
El Paso,TX,674433,Texas,el-paso-tx
Memphis,TN,653450,Tennessee,memphis-tn
Seattle,WA,652405,Washington,seattle-wa
Denver,CO,649495,Colorado,denver-co
Washington,DC,646449,District of Columbia,washington-dc
Boston,MA,645966,Massachusetts,boston-ma
Nashville-Davidson,TN,634464,Tennessee,nashville-davidson-tn
Baltimore,MD,622104,Maryland,baltimore-md
Oklahoma City,OK,610613,Oklahoma,oklahoma-city-ok
Louisville/Jefferson County,KY,609893,Kentucky,louisville-jefferson-county-ky
Portland,OR,609456,Oregon,portland-or
Las Vegas,NV,603488,Nevada,las-vegas-nv
Milwaukee,WI,599164,Wisconsin,milwaukee-wi
Albuquerque,NM,556495,New Mexico,albuquerque-nm
Tucson,AZ,526116,Arizona,tucson-az
Fresno,CA,509924,California,fresno-ca
Sacramento,CA,479686,California,sacramento-ca
Long Beach,CA,469428,California,long-beach-ca
Kansas City,MO,467007,Missouri,kansas-city-mo
Mesa,AZ,457587,Arizona,mesa-az
Virginia Beach,VA,448479,Virginia,virginia-beach-va
Atlanta,GA,447841,Georgia,atlanta-ga
Colorado Springs,CO,439886,Colorado,colorado-springs-co
Omaha,NE,434353,Nebraska,omaha-ne
Raleigh,NC,431746,North Carolina,raleigh-nc
Miami,FL,417650,Florida,miami-fl
Oakland,CA,406253,California,oakland-ca
Minneapolis,MN,400070,Minnesota,minneapolis-mn
Tulsa,OK,398121,Oklahoma,tulsa-ok
Cleveland,OH,390113,Ohio,cleveland-oh
Wichita,KS,386552,Kansas,wichita-ks
Arlington,TX,379577,Texas,arlington-tx
New Orleans,LA,378715,Louisiana,new-orleans-la
Bakersfield,CA,363630,California,bakersfield-ca
Tampa,FL,352957,Florida,tampa-fl
Honolulu,HI,347884,Hawaii,honolulu-hi
Aurora,CO,345803,Colorado,aurora-co
Anaheim,CA,345012,California,anaheim-ca
Santa Ana,CA,334227,California,santa-ana-ca
St. Louis,MO,318416,Missouri,st-louis-mo
Riverside,CA,316619,California,riverside-ca
Corpus Christi,TX,316381,Texas,corpus-christi-tx
Lexington-Fayette,KY,308428,Kentucky,lexington-fayette-ky
Pittsburgh,PA,305841,Pennsylvania,pittsburgh-pa
Anchorage,AK,300950,Alaska,anchorage-ak
Stockton,CA,298118,California,stockton-ca
Cincinnati,OH,297517,Ohio,cincinnati-oh
St. Paul,MN,294873,Minnesota,st-paul-mn
Toledo,OH,282313,Ohio,toledo-oh
Greensboro,NC,279639,North Carolina,greensboro-nc
Newark,NJ,278427,New Jersey,newark-nj
Plano,TX,274409,Texas,plano-tx
Henderson,NV,270811,Nevada,henderson-nv
Lincoln,NE,268738,Nebraska,lincoln-ne
Buffalo,NY,258959,New York,buffalo-ny
Jersey City,NJ,257342,New Jersey,jersey-city-nj
Chula Vista,CA,256780,California,chula-vista-ca
Fort Wayne,IN,256496,Indiana,fort-wayne-in
Orlando,FL,255483,Florida,orlando-fl
St. Petersburg,FL,249688,Florida,st-petersburg-fl
Chandler,AZ,249146,Arizona,chandler-az
Laredo,TX,248142,Texas,laredo-tx
